feature,document,machine,load_time,search_time,reduce_and_save
100,5000,4,19,130,67
100,5000,4,12,130,61
100,5000,4,13,127,61
100,5000,4,13,124,63
100,5000,4,13,129,59
100,5000,4,13,125,60
100,5000,4,13,123,63
100,5000,4,13,129,61
100,5000,4,12,127,61
100,5000,4,12,125,62
100,5000,4,13,128,59
100,5000,4,13,128,61
100,5000,4,12,130,60
100,5000,4,12,125,61
100,5000,4,13,127,60
100,5000,4,13,126,63
100,5000,4,13,127,64
100,5000,3,18,160,67
100,5000,3,13,166,59
100,5000,3,12,167,61
100,5000,3,12,168,60
100,5000,3,12,170,61
100,5000,3,12,154,63
100,5000,3,13,168,60
100,5000,3,12,167,60
100,5000,3,12,148,64
100,5000,3,12,167,65
100,5000,3,12,164,60
100,5000,3,12,150,59
100,5000,2,20,217,65
100,5000,2,13,205,63
100,5000,2,14,204,60
100,5000,2,13,205,55
100,5000,2,14,210,59
100,5000,2,13,201,59
100,5000,2,13,211,59
100,5000,2,13,217,59
100,5000,2,14,207,60
100,5000,2,14,209,59
100,5000,2,14,214,61
100,5000,2,13,210,61
100,5000,1,24,376,60
100,5000,1,21,393,58
100,5000,1,20,386,58
100,5000,1,22,384,59
100,5000,1,21,387,59
100,4000,4,18,112,70
100,4000,4,13,118,62
100,4000,4,12,114,63
100,4000,4,14,112,65
100,4000,4,12,113,62
100,4000,4,14,109,61
100,4000,4,13,118,63
100,4000,4,12,112,61
100,4000,4,12,110,61
100,4000,4,11,111,63
100,4000,4,13,112,67
100,4000,4,12,110,60
100,4000,4,12,113,60
100,3000,4,19,100,66
100,3000,4,13,99,64
100,3000,4,12,100,65
100,3000,4,13,103,61
100,3000,4,14,104,63
100,3000,4,14,99,63
100,2000,4,18,90,67
100,2000,4,13,86,65
100,2000,4,13,85,63
100,2000,4,14,87,62
100,2000,4,13,85,61
100,2000,4,13,86,64
100,2000,4,13,85,61
100,2000,4,13,89,58
100,2000,4,13,85,61
100,2000,4,12,85,60
100,2000,4,13,85,66
100,2000,4,12,86,59
100,2000,4,12,86,61
100,2000,4,12,82,60
100,2000,4,13,87,62
100,2000,4,12,83,65
100,2000,4,12,85,60
100,2000,4,13,87,60
100,2000,4,12,86,59
100,1000,4,19,75,63
100,1000,4,14,71,61
100,1000,4,13,75,59
100,1000,4,14,72,61
100,1000,4,13,72,59
100,1000,4,13,71,59
100,1000,4,13,72,59
100,1000,4,14,70,62
100,1000,4,12,72,58
100,1000,4,13,71,59
100,1000,4,13,70,62
100,1000,4,12,72,59
100,1000,4,20,71,58
100,1000,4,13,69,60
100,1000,4,12,73,60
100,1000,4,13,69,59
100,1000,4,13,71,60
100,1000,4,13,73,62
100,1000,4,12,71,59
100,1000,4,12,70,56
100,1000,4,13,70,58
100,1000,4,12,69,57
